,date,currency,priceCode,value,isEstimate,ISIN
0,28/8/2023,THB,Nav,19.4022,FALSE,61500003
1,25/8/2023,THB,Nav,19.397,FALSE,61500003
2,24/8/2023,THB,Nav,19.3954,FALSE,61500003
3,23/8/2023,THB,Nav,19.3936,FALSE,61500003
4,22/8/2023,THB,Nav,19.3959,FALSE,61500003
5,21/8/2023,THB,Nav,19.393,FALSE,61500003
6,18/8/2023,THB,Nav,19.3913,FALSE,61500003
7,17/8/2023,THB,Nav,19.3913,FALSE,61500003
8,16/8/2023,THB,Nav,19.3969,FALSE,61500003
9,15/8/2023,THB,Nav,19.4009,FALSE,61500003
10,14/8/2023,THB,Nav,19.3982,TRUE,61500003
11,11/8/2023,THB,Nav,19.3982,FALSE,61500003
12,10/8/2023,THB,Nav,19.3963,FALSE,61500003
13,9/8/2023,THB,Nav,19.3942,FALSE,61500003
14,8/8/2023,THB,Nav,19.3929,FALSE,61500003
15,7/8/2023,THB,Nav,19.3899,FALSE,61500003
16,4/8/2023,THB,Nav,19.3866,FALSE,61500003
17,3/8/2023,THB,Nav,19.3871,FALSE,61500003
18,2/8/2023,THB,Nav,19.3902,FALSE,61500003
19,1/8/2023,THB,Nav,19.3905,TRUE,61500003
20,31/7/2023,THB,Nav,19.3905,FALSE,61500003
21,28/7/2023,THB,Nav,19.3945,TRUE,61500003
22,27/7/2023,THB,Nav,19.3945,FALSE,61500003
23,26/7/2023,THB,Nav,19.3917,FALSE,61500003
24,25/7/2023,THB,Nav,19.3873,FALSE,61500003
25,24/7/2023,THB,Nav,19.3874,FALSE,61500003
26,21/7/2023,THB,Nav,19.3868,FALSE,61500003
27,20/7/2023,THB,Nav,19.3905,FALSE,61500003
28,19/7/2023,THB,Nav,19.393,FALSE,61500003
29,18/7/2023,THB,Nav,19.3925,FALSE,61500003
30,17/7/2023,THB,Nav,19.3913,FALSE,61500003
31,14/7/2023,THB,Nav,19.3891,FALSE,61500003
32,13/7/2023,THB,Nav,19.386,FALSE,61500003
33,12/7/2023,THB,Nav,19.386,FALSE,61500003
34,11/7/2023,THB,Nav,19.3851,FALSE,61500003
35,10/7/2023,THB,Nav,19.3846,FALSE,61500003
36,7/7/2023,THB,Nav,19.382,FALSE,61500003
37,6/7/2023,THB,Nav,19.3837,FALSE,61500003
38,5/7/2023,THB,Nav,19.384,FALSE,61500003
39,4/7/2023,THB,Nav,19.379,FALSE,61500003
40,3/7/2023,THB,Nav,19.375,FALSE,61500003
41,30/6/2023,THB,Nav,19.369,FALSE,61500003
42,29/6/2023,THB,Nav,19.3682,FALSE,61500003
43,28/6/2023,THB,Nav,19.3678,FALSE,61500003
44,27/6/2023,THB,Nav,19.3676,FALSE,61500003
45,26/6/2023,THB,Nav,19.3655,FALSE,61500003
46,23/6/2023,THB,Nav,19.3594,FALSE,61500003
47,22/6/2023,THB,Nav,19.3592,FALSE,61500003
48,21/6/2023,THB,Nav,19.3573,FALSE,61500003
49,20/6/2023,THB,Nav,19.3585,FALSE,61500003
50,19/6/2023,THB,Nav,19.3583,FALSE,61500003
51,16/6/2023,THB,Nav,19.3566,FALSE,61500003
52,15/6/2023,THB,Nav,19.3555,FALSE,61500003
53,14/6/2023,THB,Nav,19.3594,FALSE,61500003
54,13/6/2023,THB,Nav,19.3599,FALSE,61500003
55,12/6/2023,THB,Nav,19.3598,FALSE,61500003
56,9/6/2023,THB,Nav,19.3605,FALSE,61500003
57,8/6/2023,THB,Nav,19.3632,FALSE,61500003
58,7/6/2023,THB,Nav,19.3657,FALSE,61500003
59,6/6/2023,THB,Nav,19.3646,FALSE,61500003
60,5/6/2023,THB,Nav,19.3591,TRUE,61500003
61,2/6/2023,THB,Nav,19.3591,FALSE,61500003
62,1/6/2023,THB,Nav,19.3589,FALSE,61500003
63,31/5/2023,THB,Nav,19.3562,FALSE,61500003
64,30/5/2023,THB,Nav,19.3517,FALSE,61500003
65,29/5/2023,THB,Nav,19.3453,FALSE,61500003
66,26/5/2023,THB,Nav,19.3394,FALSE,61500003
67,25/5/2023,THB,Nav,19.3366,FALSE,61500003
68,24/5/2023,THB,Nav,19.3486,FALSE,61500003
69,23/5/2023,THB,Nav,19.3499,FALSE,61500003
70,22/5/2023,THB,Nav,19.3572,FALSE,61500003
71,19/5/2023,THB,Nav,19.3555,FALSE,61500003
72,18/5/2023,THB,Nav,19.3568,FALSE,61500003
73,17/5/2023,THB,Nav,19.3555,FALSE,61500003
74,16/5/2023,THB,Nav,19.3544,FALSE,61500003
75,15/5/2023,THB,Nav,19.3573,FALSE,61500003
76,12/5/2023,THB,Nav,19.3598,FALSE,61500003
77,11/5/2023,THB,Nav,19.3592,FALSE,61500003
78,10/5/2023,THB,Nav,19.3588,FALSE,61500003
79,9/5/2023,THB,Nav,19.3596,FALSE,61500003
80,8/5/2023,THB,Nav,19.3707,FALSE,61500003
81,5/5/2023,THB,Nav,19.3668,TRUE,61500003
82,4/5/2023,THB,Nav,19.3668,TRUE,61500003
83,3/5/2023,THB,Nav,19.3668,FALSE,61500003
84,2/5/2023,THB,Nav,19.3606,FALSE,61500003
85,1/5/2023,THB,Nav,19.3568,TRUE,61500003
86,28/4/2023,THB,Nav,19.3568,FALSE,61500003
87,27/4/2023,THB,Nav,19.359,FALSE,61500003
88,26/4/2023,THB,Nav,19.366,FALSE,61500003
